#INFO,,,,,,,,,,,,,,,,,,,,
#Study name,Marlon Trailer,,,,,,,,,,,,,,,,,,,
#Respondent Name,0014,Id: 1bbfdeca-919f-4954-a4cb-4b877a0b7bde,,,,,,,,,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,,,,,,,,,
#Respondent Gender,OTHER,,,,,,,,,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,,,,,,,,,
#iMotions version,10.0.36083.1,,,,,,,,,,,,,,,,,,,
#Current culture,es-ES español (España alfabetización internacional),File encoding: System.Text.UTF8Encoding,Date format: dd/MM/yyyy,,,,,,,,,,,,,,,,,
#Recording time,Date: 23/07/2024,Time: 15:15:31.428 +02:00,Unix time: 1721740531,,,,,,,,,,,,,,,,,
#Export time,Date: 29/07/2024,Time: 22:33:54.728 +02:00,,,,,,,,,,,,,,,,,,
#Sensor info,Affectiva AFFDEX, Manufacturer: Affectiva, Modality: Facial analysis(Affectiva AFFDEX), Affdex version: 5.1, Baseline: on, Number of faces: 1, Latency: 0 milliseconds,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX,Affectiva AFFDEX
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva,Affectiva
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions),FEA(Emotions)
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: Affectiva AFFDEX,Evidence that the face expresses anger,Evidence that the face expresses contempt,Evidence that the face expresses disgust,Evidence that the face expresses fear,Evidence that the face expresses joy,Evidence that the face expresses sadness,Evidence that the face expresses surprise,"Measure of facial muscle activation, illustrating the subject’s expressiveness",Measure of positive or negative nature of the recorded person’s experience,Evidence that the face expresses sentimentality,Evidence that the face expresses confusion,Evidence that the face showed a neutral expression
#Unit,Millisecond,,,,Millisecond,,,,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
#Short unit,ms,,,,ms,,,,,,,,,,,,,,,
#Group,,Event Source,,,,,,Event Source,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion,Emotion
#Display name,,,,,,,,,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_Affectiva_AFFDEX,FEA_Emotion_Anger,FEA_Emotion_Contempt,FEA_Emotion_Disgust,FEA_Emotion_Fear,FEA_Emotion_Joy,FEA_Emotion_Sadness,FEA_Emotion_Surprise,FEA_Emotion_Engagement,FEA_Emotion_Valence,FEA_Emotion_Sentimentality,FEA_Emotion_Confusion,FEA_Emotion_Neutral
#,,,,,,,,,,,,,,,,,,,,
#DATA,,,,,,,,,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
1,101286.5,1,StartSlide,TestImage,161000,StimuliDisplay,MEJOR ESTE,,,,,,,,,,,,,
2,101301,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
3,101301.099999905,1,StartMedia,TestImage,161000,StimuliDisplay,MEJOR ESTE,,,,,,,,,,,,,
4,101332,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
5,101364,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
6,101396,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
7,101428,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
8,101460,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
9,101492,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
10,101524,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
11,101556,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
12,101589,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
13,101636,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
14,101668,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
15,101700,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
16,101732,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
17,101764,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
18,101796,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
19,101828,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
20,101860,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
21,101892,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
22,101924,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
23,101956,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
24,101989,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
25,102020,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
26,102068,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
27,102100,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
28,102132,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
29,102164,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
30,102197,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
31,102228,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
32,102260,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
33,102292,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
34,102324,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
35,102356,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
36,102388,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
37,102420,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
38,102452,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
39,102500,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
40,102532,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
41,102564,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
42,102596,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
43,102628,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
44,102660,,,,,,MEJOR ESTE,1,0,0,0,0,0,0,0,0,0,0,0,0
